County,Election Year,Election Type,Total Number of Votes Cast,Votes Cast By Vote By Mail Ballots,Percentage of Votes Cast By Vote By Mail Ballot
Morris,2017,General,147472,7814,5.3%
Morris,2018,Primary,62232,1390,2.2%
Morris,2018,General,221193,27151,12.3%
Morris,2019,Primary,39775,5493,13.8%
Morris,2019,General,117611,16924,14.4%
Morris,2020,Primary,98799,88026,89.1%
Morris,2020,General,305874,294107,96.2%
Morris,2021,Primary,57334,12211,21.3%
Morris,2021,General,187362,33422,17.8%
Morris,2022,Primary,58112,15437,26.6%
Morris,2022,General,194387,35065,18.0%
Morris,2023,Primary,48540,13666,28.2%
Morris,2023,General,113872,24460,21.5%
Morris,2024,Primary,57482,16800,29.2%
Morris,2024,General,288123,52330,18.2%
Morris,2025,Primary,90131,21046,23.4%
Morris,2025,General,231101,39538,17.1%
Ocean,2003,Primary,20681,1374,6.6%
Ocean,2003,General,125369,5202,4.1%
Ocean,2004,Primary,23217,1585,6.8%
Ocean,2004,General,257364,17574,6.8%
Ocean,2005,Primary,42483,1808,4.3%
Ocean,2005,General,176637,7680,4.3%
Ocean,2006,Primary,24620,1737,7.1%
Ocean,2006,General,169940,8072,4.7%
Ocean,2007,Primary,24873,1703,6.8%
Ocean,2007,General,124269,6187,5.0%
Ocean,2008,Primary,108133,4370,4.0%
Ocean,2008,General,276544,19860,7.2%
Ocean,2009,Primary,48823,2415,4.9%
Ocean,2009,General,193186,14172,7.3%
Ocean,2010,Primary,42003,2790,6.6%
Ocean,2010,General,167706,11337,6.8%
Ocean,2011,Primary,21644,2710,12.5%
Ocean,2011,General,111771,8965,8.0%
Ocean,2012,Primary,33727,3184,9.4%
Ocean,2012,General,253333,26954,10.6%
Ocean,2013,Primary,35355,3294,9.3%
Ocean,2013,General,169870,13406,7.9%
Ocean,2014,Primary,31028,3700,11.9%
Ocean,2014,General,144649,12540,8.7%
Ocean,2015,Primary,19300,3391,17.6%
Ocean,2015,General,86013,9584,11.1%
Ocean,2016,Primary,88915,5928,6.7%
Ocean,2016,General,280409,29202,10.4%
Ocean,2017,Primary,50604,4319,8.5%
Ocean,2017,General,160620,14161,8.8%
Ocean,2018,Primary,46447,4264,9.2%
Ocean,2018,General,228785,31033,13.6%
Ocean,2019,Primary,33832,9808,29.0%
Ocean,2019,General,121450,21970,18.1%
Ocean,2020,Primary,102459,90001,87.8%
Ocean,2020,General,346059,335596,97.0%
Ocean,2021,Primary,63086,16380,26.0%
Ocean,2021,General,218081,38401,17.6%
Ocean,2022,Primary,67067,19108,28.5%
Ocean,2022,General,209455,39965,19.1%
Ocean,2023,Primary,45951,16207,35.3%
Ocean,2023,General,145969,33090,22.7%
Ocean,2024,Primary,63364,20875,32.9%
Ocean,2024,General,340300,57244,16.8%
Ocean,2025,Primary,111731,24708,22.1%
Ocean,2025,General,279399,47458,17.0%
Passaic,2003,Primary,15203,458,3.0%
Passaic,2003,General,71085,2719,3.8%
Passaic,2004,Primary,14484,552,3.8%
Passaic,2004,General,176303,10207,5.8%
Passaic,2005,Primary,22626,755,3.3%
Passaic,2005,General,110417,3845,3.5%
Passaic,2006,Primary,16094,893,5.5%
Passaic,2006,General,105751,3577,3.4%
Passaic,2007,Primary,14922,952,6.4%
Passaic,2007,General,63485,2614,4.1%
Passaic,2008,Primary,76432,1440,1.9%
Passaic,2008,General,192558,8913,4.6%
Passaic,2009,Primary,25635,970,3.8%
Passaic,2009,General,112278,5589,5.0%
Passaic,2010,Primary,19075,1207,6.3%
Passaic,2010,General,106097,4599,4.3%
Passaic,2011,Primary,19252,931,4.8%
Passaic,2011,General,61554,3546,5.8%
Passaic,2012,Primary,44683,2711,6.1%
Passaic,2012,General,183804,11395,6.2%
Passaic,2013,Primary,22500,945,4.2%
Passaic,2013,General,104262,5704,5.5%
Passaic,2014,Primary,13334,977,7.3%
Passaic,2014,General,91887,5709,6.2%
Passaic,2015,Primary,10902,883,8.1%
Passaic,2015,General,59586,3699,6.2%
Passaic,2016,Primary,66614,1998,3.0%
Passaic,2016,General,198477,11555,5.8%
Passaic,2017,Primary,36812,1176,3.2%
Passaic,2017,General,97777,6014,6.2%
Passaic,2018,Primary,28196,1145,4.1%
Passaic,2018,General,154678,14788,9.6%
Passaic,2019,Primary,15940,3000,18.8%
Passaic,2019,General,64074,9824,15.3%
Passaic,2020,Primary,58158,50543,86.9%
Passaic,2020,General,226599,208923,92.2%
Passaic,2021,Primary,25358,5686,22.4%
Passaic,2021,General,114242,18622,16.3%
Passaic,2022,Primary,25815,6987,27.1%
Passaic,2022,General,116757,17657,15.1%
Passaic,2023,Primary,18427,6385,34.7%
Passaic,2023,General,71635,13611,19.0%
Passaic,2024,Primary,44683,10117,22.6%
Passaic,2024,General,205563,26023,12.7%
Passaic,2025,Primary,56320,11379,20.2%
Passaic,2025,General,151417,20250,13.4%
Salem,2003,Primary,3716,231,6.2%
Salem,2003,General,19179,1126,5.9%
Salem,2004,Primary,3833,328,8.6%
Salem,2004,General,29950,1592,5.3%
Salem,2005,Primary,4180,216,5.2%
Salem,2005,General,21090,1172,5.6%
Salem,2006,Primary,3413,435,12.7%
Salem,2006,General,21706,974,4.5%
Salem,2007,Primary,2460,157,6.4%
Salem,2007,General,17909,1259,7.0%
Salem,2008,Primary,13120,274,2.1%
Salem,2008,General,31812,1769,5.6%
Salem,2009,Primary,5040,209,4.1%
Salem,2009,General,20838,1411,6.8%
Salem,2010,Primary,4357,308,7.1%
Salem,2010,General,20329,1180,5.8%
Salem,2011,Primary,3332,188,5.6%
Salem,2011,General,15940,1116,7.0%
Salem,2012,Primary,4265,179,4.2%
Salem,2012,General,29934,2311,7.7%
Salem,2013,Primary,3784,172,4.5%
Salem,2013,General,19778,1724,8.7%
Salem,2014,Primary,3246,117,3.6%
Salem,2014,General,18942,1695,8.9%
Salem,2015,Primary,2709,131,4.8%
Salem,2015,General,13259,1050,7.9%
Salem,2016,Primary,9295,242,2.6%
Salem,2016,General,30048,2334,7.8%
Salem,2017,Primary,4697,117,2.5%
Salem,2017,General,17520,1548,8.8%
Salem,2018,Primary,4591,196,4.3%
Salem,2018,General,24163,2815,11.7%
Salem,2019,Primary,3866,909,23.5%
Salem,2019,General,15430,2213,14.3%
Salem,2020,Primary,11197,9951,88.9%
Salem,2020,General,34323,32365,94.3%
Salem,2021,Primary,5592,1444,25.8%
Salem,2021,General,19792,3603,18.2%
Salem,2022,Primary,5297,1648,31.1%
Salem,2022,General,18766,3420,18.2%
Salem,2023,Primary,5882,2038,34.6%
Salem,2023,General,15379,3344,21.7%
Salem,2024,Primary,6119,2159,35.3%
Salem,2024,General,31255,4802,15.4%
Salem,2025,Primary,8387,2271,27.1%
Salem,2025,General,23351,3869,16.6%
Somerset,2003,Primary,11049,379,3.4%
Somerset,2003,General,58501,1724,2.9%
Somerset,2004,Primary,15201,658,4.3%
Somerset,2004,General,140907,10600,7.5%
Somerset,2005,Primary,21495,722,3.4%
Somerset,2005,General,95302,3370,3.5%
Somerset,2006,Primary,13504,1057,7.8%
Somerset,2006,General,93317,4188,4.5%
Somerset,2007,Primary,9520,674,7.1%
Somerset,2007,General,64977,3084,4.7%
Somerset,2008,Primary,66784,1752,2.6%
Somerset,2008,General,152134,12103,8.0%
Somerset,2009,Primary,23933,640,2.7%
Somerset,2009,General,102993,6122,5.9%
Somerset,2010,Primary,17277,816,4.7%
Somerset,2010,General,85815,5039,5.9%
Somerset,2011,Primary,9899,1183,12.0%
Somerset,2011,General,55717,3427,6.2%
Somerset,2012,Primary,20725,1258,6.1%
Somerset,2012,General,143853,15595,10.8%
Somerset,2013,Primary,14711,850,5.8%
Somerset,2013,General,88613,4882,5.5%
Somerset,2014,Primary,18407,1589,8.6%
Somerset,2014,General,77978,5385,6.9%
Somerset,2015,Primary,9681,817,8.4%
Somerset,2015,General,45648,4000,8.8%
Somerset,2016,Primary,56309,2287,4.1%
Somerset,2016,General,160545,16151,10.1%
Somerset,2017,Primary,32917,1287,3.9%
Somerset,2017,General,93425,6662,7.1%
Somerset,2018,Primary,29370,1258,4.3%
Somerset,2018,General,138293,19294,14.0%
Somerset,2019,Primary,27170,4865,17.9%
Somerset,2019,General,75380,12244,16.2%
Somerset,2020,Primary,61174,53537,87.5%
Somerset,2020,General,189722,181401,95.6%
Somerset,2021,Primary,30832,8498,27.6%
Somerset,2021,General,114549,32008,27.9%
Somerset,2022,Primary,31731,11997,37.8%
Somerset,2022,General,118909,29969,25.2%
Somerset,2023,Primary,22567,10032,44.5%
Somerset,2023,General,82762,24136,29.2%
Somerset,2024,Primary,37110,13899,37.5%
Somerset,2024,General,179794,42175,23.5%
Somerset,2025,Primary,54207,15545,28.7%
Somerset,2025,General,141618,32412,22.9%
Sussex,2003,Primary,13923,284,2.0%
Sussex,2003,General,25386,541,2.1%
Sussex,2004,Primary,12667,268,2.1%
Sussex,2004,General,69649,3716,5.3%
Sussex,2005,Primary,12752,250,2.0%
Sussex,2005,General,43288,1154,2.7%
Sussex,2006,Primary,9355,193,2.1%
Sussex,2006,General,43271,1449,3.3%
Sussex,2007,Primary,16543,377,2.3%
Sussex,2007,General,32895,958,2.9%
Sussex,2008,Primary,31281,777,2.5%
Sussex,2008,General,74593,4518,6.1%
Sussex,2009,Primary,16526,462,2.8%
Sussex,2009,General,50137,2081,4.2%
Sussex,2010,Primary,15837,397,2.5%
Sussex,2010,General,41056,1884,4.6%
Sussex,2011,Primary,6527,203,3.1%
Sussex,2011,General,23680,1224,5.2%
Sussex,2012,Primary,13187,212,1.6%
Sussex,2012,General,68404,5570,8.1%
Sussex,2013,Primary,13033,266,2.0%
Sussex,2013,General,42393,2248,5.3%
Sussex,2014,Primary,7237,272,3.8%
Sussex,2014,General,36591,2165,5.9%
Sussex,2015,Primary,9760,252,2.6%
Sussex,2015,General,21274,1447,6.8%
Sussex,2016,Primary,27458,902,3.3%
Sussex,2016,General,75546,6081,8.0%
Sussex,2017,Primary,16272,385,2.4%
Sussex,2017,General,42871,2322,5.4%
Sussex,2018,Primary,15559,414,2.7%
Sussex,2018,General,61349,7170,11.7%
Sussex,2019,Primary,13845,2289,16.5%
Sussex,2019,General,34198,4677,13.7%
Sussex,2020,Primary,30207,28062,92.9%
Sussex,2020,General,88857,86253,97.1%
Sussex,2021,Primary,17331,3581,20.7%
Sussex,2021,General,54497,7599,13.9%
Sussex,2022,Primary,16010,3976,24.8%
Sussex,2022,General,55643,7643,13.7%
Sussex,2023,Primary,15293,3541,23.2%
Sussex,2023,General,33159,5298,16.0%
Sussex,2024,Primary,19471,4345,22.3%
Sussex,2024,General,85228,11349,13.3%
Sussex,2025,Primary,24196,4661,19.3%
Sussex,2025,General,65088,8383,12.9%
Union,2003,Primary,25634,725,2.8%
Union,2003,General,79921,1942,2.4%
Union,2004,Primary,29096,873,3.0%
Union,2004,General,204759,9815,4.8%
Union,2005,Primary,34428,897,2.6%
Union,2005,General,134294,5350,4.0%
Union,2006,Primary,26007,968,3.7%
Union,2006,General,134308,4906,3.7%
Union,2007,Primary,17251,690,4.0%
Union,2007,General,76271,2594,3.4%
Union,2008,Primary,102779,2301,2.2%
Union,2008,General,223951,11601,5.2%
Union,2009,Primary,33157,1154,3.5%
Union,2009,General,136110,6978,5.1%
Union,2010,Primary,39853,1301,3.3%
Union,2010,General,123624,5569,4.5%
Union,2011,Primary,31155,1648,5.3%
Union,2011,General,70096,4044,5.8%
Union,2012,Primary,45046,2329,5.2%
Union,2012,General,211597,16646,7.9%
Union,2013,Primary,37425,858,2.3%
Union,2013,General,118019,6813,5.8%
Union,2014,Primary,32275,1936,6.0%
Union,2014,General,111479,7975,7.2%
Union,2015,Primary,21920,1648,7.5%
Union,2015,General,65767,7177,10.9%
Union,2016,Primary,79470,1939,2.4%
Union,2016,General,226793,16831,7.4%
Union,2017,Primary,48583,818,1.7%
Union,2017,General,125230,9026,7.2%
Union,2018,Primary,46407,1133,2.4%
Union,2018,General,188734,20642,10.9%
Union,2019,Primary,38319,4137,10.8%
Union,2019,General,82943,12927,15.6%
Union,2020,Primary,90667,79719,87.9%
Union,2020,General,258344,236274,91.5%
Union,2021,Primary,44230,10490,23.7%
Union,2021,General,138552,29733,21.5%
Union,2022,Primary,43497,14559,33.5%
Union,2022,General,144287,29370,20.4%
Union,2023,Primary,34241,12132,35.4%
Union,2023,General,90148,22830,25.3%
Union,2024,Primary,45273,14565,32.2%
Union,2024,General,244439,42145,17.2%
Union,2025,Primary,74950,17638,23.5%
Union,2025,General,187467,32310,17.2%
Warren,2003,Primary,9237,223,2.4%
Warren,2003,General,21058,483,2.3%
Warren,2004,Primary,7145,257,3.6%
Warren,2004,General,48448,2577,5.3%
Warren,2005,Primary,10985,269,2.4%
Warren,2005,General,32020,848,2.6%
Warren,2006,Primary,7402,179,2.4%
Warren,2006,General,29807,1234,4.1%
Warren,2007,Primary,7472,282,3.8%
Warren,2007,General,21493,812,3.8%
Warren,2008,Primary,20681,609,2.9%
Warren,2008,General,49846,3248,6.5%
Warren,2009,Primary,11477,385,3.4%
Warren,2009,General,32904,1954,5.9%
Warren,2010,Primary,9077,344,3.8%
Warren,2010,General,25747,1550,6.0%
Warren,2011,Primary,4515,196,4.3%
Warren,2011,General,15762,1134,7.2%
Warren,2012,Primary,9595,305,3.2%
Warren,2012,General,45942,3997,8.7%
Warren,2013,Primary,9179,227,2.5%
Warren,2013,General,27951,1820,6.5%
Warren,2014,Primary,5601,146,2.6%
Warren,2014,General,24865,1835,7.4%
Warren,2015,Primary,4866,170,3.5%
Warren,2015,General,13623,1212,8.9%
Warren,2016,Primary,20594,659,3.2%
Warren,2016,General,50412,4979,9.9%
Warren,2017,Primary,11008,258,2.3%
Warren,2017,General,28917,2088,7.2%
Warren,2018,Primary,9110,201,2.2%
Warren,2018,General,41575,5865,14.1%
Warren,2019,Primary,7514,1945,25.9%
Warren,2019,General,21289,3784,17.8%
Warren,2020,Primary,22297,20203,90.6%
Warren,2020,General,61598,58929,95.7%
Warren,2021,Primary,11732,3259,27.8%
Warren,2021,General,37273,7216,19.4%
Warren,2022,Primary,13707,3913,28.5%
Warren,2022,General,39310,7373,18.8%
Warren,2023,Primary,8404,3249,38.7%
Warren,2023,General,22482,5071,22.6%
Warren,2024,Primary,13648,4003,29.3%
Warren,2024,General,60628,11342,18.7%
Warren,2025,Primary,18828,4674,24.8%
Warren,2025,General,45800,8065,17.6%
